answer,order_number,value,is_daily_double,correct_response,responder,is_correct,category,round_num,episode
"Among its numerous city squares are Ledise, known for its cafes, & Rembrandt, known for its cabarets",1,200,False,Amsterdam,Todd,True,EUROPEAN CAPITALS,1,4
"This city’s Superdome has been just super, hosting 6 Super Bowls, more than any other site",27,200,False,New Orleans,Ken,True,PRO FOOTBALL,1,4
"This desert plant that looks part cactus, part tree bears the name of the man chosen by Moses to be his successor",16,200,False,a Joshua Tree,Ken,True,PLANT THE EVIDENCE,1,4
"George I’s father was elector of this, hence its turnover into a house name",6,200,False,Hanover,Ken,True,ROYAL HOUSES,1,4
You’ll find this 4-word motto on all U.S. coins,11,200,False,In God We Trust,Ken,True,THE COIN BOX,1,4
"In a Sondheim musical, it’s how “We Roll Along”",21,200,False,"""Merrily""",Amy,True,"""M""-BRACE ME",1,4
In Russian this Lithuanian capital is called Vilna,2,400,False,Vilnius,Ken,True,EUROPEAN CAPITALS,1,4
"In 1960 Paul Hornung set the NFL season record for scoring with 176 points: he had 15 TFDs, 41 PATs & 15 of these",28,400,False,Field Goals (FGs),Ken,True,PRO FOOTBALL,1,4
The lantana is valued as a plant for its ability to attract hummingbirds and these flutterers,17,400,False,butterflies,Ken,True,PLANT THE EVIDENCE,1,4
"This dynasty’s last 3 monarchs, including Mary I, died childless",7,400,False,Tudor,Todd,True,ROYAL HOUSES,1,4
Sales of the 2000 Leif Ericson millennium coin funded a student exchange between the U.S. & this island country,12,400,False,Iceland,Todd,True,THE COIN BOX,1,4
1 of these equals 39.97 inches,22,400,False,meter,Ken,True,"""M""-BRACE ME",1,4
"This city’s best-known thoroughfare is Trakt Krolewski, or Royal Way",3,600,False,Warsaw,Amy,True,EUROPEAN CAPITALS,1,4
"After 41 seasons in the same city, this NFL team moved to Pontiac, Michigan in 1975",29,600,False,Detroit Lions,Ken,True,PRO FOOTBALL,1,4
"A genus of herbs was named for this ex-governor Clinton, not Bill",18,600,False,DeWitt Clinton,Ken,True,PLANT THE EVIDENCE,1,4
"As a member of this house, it sounds like James I could have starred in “Harvey”",8,600,False,Stuart,Ken,True,ROYAL HOUSES,1,4
On the back of the euro issued by this country you’ll find a Celtic harp,13,600,False,Ireland,Ken,True,THE COIN BOX,1,4
This place is a tomb: a big one!,23,600,False,mausoleum,Ken,True,"""M""-BRACE ME",1,4
This capital lies on the Attica Plain surrounded by mountains including Parnes & Hymettus,4,800,False,Athens,Ken,True,EUROPEAN CAPITALS,1,4
Vince Lombardi has the highest winning percentage of any NFL coach in history: this “MNF” announcer is a close second,26,800,False,John Madden,Ken,True,PRO FOOTBALL,1,4
