answer,order_number,value,is_daily_double,correct_response,responder,is_correct,category,round_num,episode
Barbra Streisand & Neil Diamond were contemporaries at Erasmus Hall High in this borough,16,200,False,Brooklyn,Robert,True,NEW YORK CITY,1,7
"Baltic Avenue is the second property after ""Go"" in this game",6,200,False,Monopoly,Ken,True,SECONDS,1,7
He was the son of Czar Alexis by his second wife Natalya,1,200,False,Peter the Great,Ken,True,"OH, FOR PETE'S SAKE!",1,7
Good one deserves another turn,26,200,False,one good turn deserves another,Ken,True,A PROVERBIAL MESS,1,7
"The title role in ""Boris Godunov"" is for a singer in this vocal range",11,200,False,bass,Robert,True,OPERA,1,7
"In this film Dustin Hoffman's character Raymond Babbitt habitually watches ""Jeopardy!""",21,200,False,Rain Man,Ken,True,THE TALES OF HOFFMAN,1,7
"(Sofia of the Clue Crew skates on the ice rink at Rockefeller Center, New York.)  Though there was a depression on, Rockefeller Rink opened on this festive day in 1936",17,400,False,Christmas Day,Kate,True,NEW YORK CITY,1,7
It's the second of the Harry Potter books,7,400,False,Harry Potter and the Chamber of Secrets,Ken,True,SECONDS,1,7
This man was the drummer for the Beatles before Ringo joined in 1962,2,400,False,Pete Best,Ken,True,"OH, FOR PETE'S SAKE!",1,7
Boils never watched a pot,27,400,False,a watched pot never boils,Ken,True,A PROVERBIAL MESS,1,7
"Peter Cornelius' opera ""The Barber of Baghdad"" was based on a tale in this collection",12,400,False,Arabian Nights,Ken,True,OPERA,1,7
"Frank Wills, the security guard who discovered the Watergate break-in, played himself in this Hoffman film",22,400,False,All the President\'s Men,Ken,True,THE TALES OF HOFFMAN,1,7
The heart of Little Italy is this street also found in a Dr. Seuss book title,18,"1,400",True,Mulberry Street,Kate,False,NEW YORK CITY,1,7
"On Dec. 12, 1787 this ""Keystone State"" became the second U.S. state to ratify the Constitution",8,600,False,Pennsylvania,Ken,True,SECONDS,1,7
Gray Davis succeeded him as governor of California,3,600,False,Pete Wilson,Ken,True,"OH, FOR PETE'S SAKE!",1,7
Dogs lie sleeping let,28,600,False,let sleeping dogs lie,Ken,True,A PROVERBIAL MESS,1,7
"In Sir Arthur Sullivan's ""Ivanhoe"", ""Ho, Jolly Jenkin"" is an aria for this Friar",13,600,False,Friar Tuck,Ken,True,OPERA,1,7
Posters for this 1982 film featured Hoffman in a red sequined dress,23,600,False,Tootsie,Ken,True,THE TALES OF HOFFMAN,1,7
"In honor of NYC's blaze-battlers, these 4 letters appeared on a lot of caps in 2001",19,800,False,FDNY,Kate,True,NEW YORK CITY,1,7
"""No graven images"" is number 2 on this ancient list",9,800,False,the Ten Commandments,Ken,True,SECONDS,1,7
"In 2000 he won the Wimbledon men's singles, his 13th Grand Slam title",4,800,False,Pete Sampras,Ken,True,"OH, FOR PETE'S SAKE!",1,7
Once twice shy bitten,29,800,False,once bitten twice shy,Ken,True,A PROVERBIAL MESS,1,7
"Wagner didn't want ""Parsifal"" performed outside of this city that now holds Wagner festivals",14,800,False,Bayreuth,Robert,True,OPERA,1,7
"""Everybody's Talkin'"" served as the theme to this 1969 film in which Hoffman played street hustler Ratso Rizzo",24,800,False,Midnight Cowboy,Ken,True,THE TALES OF HOFFMAN,1,7
This mental hospital is the primary teaching hospital for NYU's medical school,20,1000,False,Bellevue,Ken,True,NEW YORK CITY,1,7
It's the second chemical element listed on the periodic table,10,1000,False,helium,Ken,True,SECONDS,1,7
Dutch colonial governor of New Amsterdam who bought it from the Indians,5,1000,False,Peter Minuit,Kate,True,"OH, FOR PETE'S SAKE!",1,7
A color different of a horse,30,1000,False,a horse of a different color,Kate,True,A PROVERBIAL MESS,1,7
